,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,Occlusion,Rise,KernelShap,Lime
Deletion,0.1787037134170532,0.17800926715135573,0.16305555552244186,0.13111111149191856,0.16305555552244186,0.13111111149191856,0.13111111149191856,0.13180555626749993,0.13111111149191856,0.1322222225368023,0.16305555552244186,0.13111111149191856,0.1708333261311054,0.16055555567145346
Insertion,0.8391666650772095,0.8388425946235657,0.878518545627594,0.948888897895813,0.878518545627594,0.948888897895813,0.9116203904151916,0.9295370221138001,0.9350925922393799,0.9263425707817078,0.8741203904151916,0.9356481313705445,0.8660648345947266,0.8731481432914734
MuFidelity,-0.042368863987347904,-0.044051922257588125,0.008061893207838174,0.5287492649816821,0.6983705050714991,0.6096416108359025,0.7562449837483675,0.5975344112205201,0.6550200611336143,0.6564840458053985,0.0181498501870414,0.026166804569222546,0.013001351676113257,0.008646243340368757
CosSim,0.09555678280901539,0.09555678343593033,0.47457307357155704,0.6055114332987632,0.800044591780582,0.6842573944673398,0.8797331910769444,0.767236278435461,0.6481173064704644,0.6204780861360921,0.2635319953329421,0.08282250152564526,0.21713940133732193,0.20390836243024352
SSIM,0.40898856413212015,0.40898856284105245,0.867830664487592,0.9571654687821866,0.9793973831335704,0.9638912343482176,0.9844955263535182,0.9676150678594906,0.9612098228931426,0.9580557907124361,0.8319076736867987,0.002547276756201288,0.4067096184399592,0.3184820940453131
Conciseness,0.55089570473251,0.55089570473251,0.9877854938271611,0.9930658436213988,0.9977552726337452,0.994572402263375,0.9973362482853227,0.9871060528120716,0.9866992455418384,0.9872235082304531,0.9635924639917695,0.0,0.08050861625514402,0.0841017232510288
F1,0.03594458437443576,0.03594458437443576,0.5516949899794252,0.5424555956485153,0.7547502654910255,0.6367145661245041,0.8471844760173413,0.30781795100509246,0.30608650570049745,0.3124663290514985,0.1872035486827698,0.02738261861195775,0.019880110040015015,0.019697308905989065
MAE,0.21178805363816422,0.21178805394876993,0.010222479423944828,0.0045854766804368135,0.0013123713992843364,0.003509302126253001,0.0010211283600661384,0.0029494745583827217,0.0031619563760865443,0.003611515709552829,0.029822852366331663,0.6065438758420909,0.1744126874266116,0.20107739464193805
IoU,0.018573200051770843,0.018573200051770843,0.4182871459570284,0.3938735863765973,0.7167375383401113,0.49336462075202386,0.814654205006778,0.1867470101639646,0.18531241924501202,0.1901284796505147,0.10561702266962392,0.014102366255144027,0.010093234717223308,0.009999892269848407
PR,0.047523297116676556,0.047523297116676556,0.4979047619047622,0.407107142857143,0.8508333333333333,0.5189761904761909,0.9258333333333333,0.20351420663049585,0.2022171924200984,0.2076223512732124,0.14520553301394803,0.014102366255144027,0.027265410348609465,0.02717206790123456
RE,0.8167965743686139,0.8167965743686139,0.7168382993919564,0.8856721871137119,0.7168382993919564,0.868239589074496,0.8146681605030676,0.8511313261810358,0.8606877087890632,0.8518524612367104,0.5357546159185673,1.0,0.9203278243686139,0.9161611577019471
EBPG,0.057823087323922676,0.05782308758488701,0.5447619241972764,0.4426041800528765,0.8508333336313566,0.5658333549648523,0.9258333335071802,0.5281414640570681,0.5789901508390904,0.5182371114318569,0.14764250955854852,0.018311756992091734,0.08246552081642829,0.05787746701389551
RRA,0.3972852766106442,0.3972852766106442,0.9880952380952381,0.9630171568627451,1.0,1.0,1.0,0.8820747111344538,0.8787798202614379,0.8702030627003052,0.48629524101307187,0.19575352897135986,0.3449489379084968,0.35904554738562094
cpa!=,0.056725285577428695,0.05672528566382488,0.5475595238095239,0.44527052800022043,0.8708333332199999,0.5622268009134677,0.9374999999366667,0.6019003707370121,0.6784487377213384,0.6120207272469975,0.15219367074565743,0.014177392592867951,0.1460143794854376,0.10115438889442885
cpl!=,0.6151021124855209,0.615102117144433,0.7083822526916728,0.729809963359273,0.8483219118886847,0.7224199511043712,0.9111282842331786,0.7721418129809496,0.8085559078801404,0.8154500852579549,0.7094895195567521,0.6649861725110799,0.7514880731116924,0.7661981045528193
cor!=,0.3359136990314748,0.33591370140412896,0.6279708882505982,0.5875402456797467,0.8595776225543424,0.6423233760089193,0.9243141420849227,0.6870210918589809,0.7435023228007394,0.7137354062524762,0.4308415951512048,0.339581782551974,0.448751226298565,0.4336762467236241
cpa>,0.048912229604058347,0.048912229598778424,0.40339743589743593,0.5471138841521761,0.8708333332199999,0.6965003031761007,0.9374999999366667,0.6986806312937959,0.5152424061701794,0.4663659429659668,0.14594367969739425,0.009961373671174414,0.10367577558989508,0.0853500908901609
cpl>,0.6199607707718113,0.6199607749200897,0.72810612465232,0.7686821828533784,0.8285340347052301,0.7606127384089338,0.898318892865779,0.7685520707588127,0.7997754538512348,0.8140438551597093,0.7306593653930608,0.7193125744639939,0.7577859756435245,0.7565942869586497
cor>,0.3344365001879349,0.33443650225943405,0.5657517802748779,0.6578980335027774,0.8496836839626152,0.7285565207925174,0.9179094464012229,0.7336163510263043,0.6575089300107071,0.6402048990628381,0.4383015225452276,0.3646369740675841,0.4307308756167097,0.42097218892440535
cpa<,1.0,1.0,1.0,0.3668791653999044,1.0,0.4374896718921488,1.0,0.46904075617178886,1.0,1.0,1.0,1.0,0.2323258143595978,0.14817928677208786
cpl<,0.18508810776140955,0.18508810974823103,0.292773189484127,0.6124821428571428,0.8870593998015874,0.6062920386904762,0.9289303146979165,0.7530284853537405,0.37581203584396655,0.3606087846651909,0.5690722966269841,0.01937786772847176,0.6453704081595182,0.6208077209503758
cor<,0.5925440538807047,0.5925440548741155,0.6463865947420635,0.4896806541285237,0.9435296999007935,0.5218908552913125,0.9644651573489582,0.6110346207627646,0.6879060179219832,0.6803043923325955,0.784536148313492,0.5096889338642359,0.43884811125955797,0.38449350386123193
cor_nosign,0.3359136990314748,0.33591370140412896,0.6279708882505982,0.5875402456797467,0.8595776225543424,0.6423233760089193,0.9243141420849227,0.6870210918589809,0.7435023228007394,0.7137354062524762,0.4308415951512048,0.339581782551974,0.448751226298565,0.4336762467236241
cor_sign,0.4634902770343198,0.4634902785667748,0.6060691875084707,0.5737893438156505,0.8966066919317044,0.6252236880419149,0.9411873018750907,0.6723254858945344,0.6727074739663452,0.6602546456977169,0.6114188354293598,0.43716295396591,0.4347894934381339,0.40273284639281864
Time,6.2755286693573,6.093900203704833,4.097036520640055,6.522728006045024,0.18228630224863687,6.87582512696584,24.511915644009907,18.386504650115967,18.192865649859108,18.270026246706642,47.379809617996216,710.5360754330953,93.50908180077872,29.425463477770485
